blade_visual	77	14
blade_visual_category	2	6
blade_visual_component	42	7
blade_visual_config	77	6
blade_visual_db	4	16
blade_visual_glob	0	6
blade_visual_map	3	5
blade_visual_record	3	19
data_report	15	16
Demo_ExcelTest	3	14
Demo_Order	151	15
Demo_OrderDetail	60	9
domain_model	0	15
EVAL_METRIC	0	13
ext_big_data	0	12
ext_customer	7	16
ext_document	4	22
ext_document_share	0	13
ext_email_config	1	21
ext_email_receive	0	23
ext_email_send	0	22
ext_employee	0	26
ext_order	9	30
ext_order_entry	6	24
ext_order_receivable	1	19
ext_product	3	38
ext_product_classify	6	12
ext_product_entry	12	23
ext_product_goods	10	18
ext_project_gantt	0	24
ext_table_example	33	28
ext_work_log	0	17
ext_work_log_share	0	13
flow_candidates	0	18
flow_comment	0	16
flow_delegate	0	23
flow_event_log	24	15
flow_form	4	27
flow_form_authorize	0	14
flow_form_relation	1	13
flow_launch_user	16	18
flow_reject_data	0	14
flow_task	16	41
flow_task_circulate	0	17
flow_task_node	45	24
flow_task_operator	555	28
flow_task_operator_record	15	26
flow_task_operator_user	0	28
flow_template	6	19
flow_template_json	3	19
flow_visible	41	15
inte_assistant_attachment	55	18
inte_assistant_deliverable	269	11
kg_pattern	0	18
kg_pattern_usage	0	6
mt543406707183714245	2	7
mt543408365615710149	64	7
mt543552698159464389	32	7
mt543668771097673669	2	7
mt543971603646513093	0	3
PROCESSED_EVENT	0	3
report_charts	21	16
report_department	12	5
report_user	283	10
sa_assumptions	14	12
sa_business_process	19	30
sa_consistency	15	11
sa_data_dictionary	19	35
sa_decision_table	172	30
sa_dfd	19	31
sa_er	19	29
sa_pspec	172	25
sa_quality_score	14	12
sa_scope	19	25
sa_state_machine	19	30
sa_ui	210	28
sa_validation_log	0	13
SchemaVersions	2	3
student	4	7
SYS_EVENT_OUTBOX_MESSAGE	0	9
SYS_PROCESSED_EVENT	0	3
undo_log	0	10
wform_applybanquet	1	16
wform_applydelivergoods	0	20
wform_applydelivergoodsentry	0	11
wform_applymeeting	0	25
wform_archivalborrow	2	18
wform_articleswarehous	0	16
wform_batchpack	0	18
wform_batchtable	0	16
wform_conbilling	0	20
wform_contractapproval	0	26
wform_contractapprovalsheet	0	27
wform_debitbill	0	19
wform_documentapproval	0	15
wform_documentsigning	0	17
wform_expenseexpenditure	0	19
wform_finishedproduct	0	11
wform_finishedproductentry	0	11
wform_incomerecognition	0	20
wform_leaveapply	0	18
wform_letterservice	0	15
wform_materialrequisition	0	12
wform_materialrequisitionentry	0	12
wform_monthlyreport	0	17
wform_officesupplies	0	16
wform_outboundorder	0	14
wform_outboundorderentry	0	11
wform_outgoingapply	0	16
wform_paydistribution	0	21
wform_paymentapply	0	22
wform_postbatchtab	0	15
wform_procurementmaterial	0	17
wform_procurementmaterialentry	0	11
wform_purchaselist	0	18
wform_purchaselistentry	0	11
wform_quotationapproval	0	16
wform_receiptprocessing	0	12
wform_receiptsign	0	13
wform_rewardpunishment	0	13
wform_salesorder	1	19
wform_salesorderentry	1	11
wform_salessupport	0	24
wform_staffovertime	0	15
wform_supplementcard	0	16
wform_travelapply	0	17
wform_travelreimbursement	0	34
wform_vehicleapply	0	17
wform_violationhandling	0	18
wform_warehousereceipt	0	15
wform_warehousereceiptentry	0	11
wform_workcontactsheet	0	15
wform_zjf_wikxqi	0	3
WH_BasicData	208	3
WH_Bill	2	16
WH_BillAutoID	4	3
WH_BillDetail	4	15
WH_CheckBillDetail	19	12
WH_Customer	1	13
WH_CustomerClass	2	4
WH_Depot	2	5
WH_DepotMaterial	2	12
WH_Dept	2	4
WH_Material	4	14
WH_MaterialClass	1	4
WH_Project	1	4
WH_RemoveBill	8	10
WH_RemoveBillDetail	13	12
WH_StorageType	4	3
WH_Supplier	1	10
WH_SupplierClass	3	3
WM_BasicData	29	3
WM_Bill	151	20
WM_BillAutoID	4	3
WM_BillDetail	1629	16
WM_CheckBill	1	11
WM_CheckBillDetail	1613	14
WM_Client	1	16
WM_ClientClass	0	4
WM_Depot	1	5
WM_DepotMaterial	0	15
WM_Dept	1	7
WM_Employee	3	8
WM_Material	739	17
WM_Project	0	4
WM_RemoveBill	5	12
WM_RemoveBillDetail	7	13
WM_StorageClass	9	7
WM_StorageType	8	3
WM_Supplier	1	12
WM_SupplierClass	0	14
WM_TaxRate	0	4
zx_sys_config	2	17
zx_sys_db	5	8
zx_system_db	0	8
