TableName,Module,Classification,RiskLevel,BeforeProblem,Action,IndexChange,SchemaChange,VerificationResult,BusinessValue,Status,Batch
BASE_AI_AGENT_SKILL,inteAssistant-AI,PRODUCT_CORE,R2,AI代理技能表缺少类型索引,REFACTORED,3,No,PASS,加速代理技能查询,CLOSED,11+17
BASE_AI_PROMPT_TEMPLATE,inteAssistant-AI,PRODUCT_CORE,R2,提示词模板表缺少索引,REFACTORED,3,No,PASS,加速提示词模板查询,CLOSED,11+17
BASE_AI_MODEL_PROVIDER,inteAssistant-AI,PRODUCT_CORE,R2,AI模型提供商表缺少索引,REFACTORED,3,No,PASS,加速模型提供商查询,CLOSED,11+17
BASE_AI_MODEL_ROUTING,inteAssistant-AI,PRODUCT_CORE,R2,AI模型路由表缺少索引,REFACTORED,3,No,PASS,加速模型路由查询,CLOSED,11+17
BASE_AI_CALL_LOG,inteAssistant-AI,PRODUCT_CORE,R2,AI调用日志表缺少索引,REFACTORED,2,No,PASS,加速AI调用审计,CLOSED,11
BASE_AI_MCP_CONFIG,inteAssistant-AI,PRODUCT_CORE,R2,AI MCP配置表缺少字段(缺F_TENANT_ID/F_CODE),REFACTORED,1,Yes (missing columns detected; F_Name used as proxy),PASS,补充缺失字段支持;加速MCP配置查询,CLOSED,11
ext_document,system-extension,ST-PROD,R2,扩展文档表缺少父级索引,REFACTORED,3,No,PASS,加速文档树查询,CLOSED,12
ext_employee,system-extension,ST-PROD,R2,扩展员工表缺少部门索引,REFACTORED,3,No,PASS,加速员工查询,CLOSED,12
ext_work_log,system-extension,ST-PROD,R2,扩展工作日志表缺少索引(f_to_user_id为nvarchar(MAX)),REFACTORED,1,Yes (skip nvarchar(MAX) column),PASS,加速工作日志查询,CLOSED,12
ext_product_classify,system-extension,ST-PROD,R2,扩展商品分类表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,12
ext_email_send,system-extension,ST-PROD,R2,扩展邮件发送表缺少索引,NO-CHANGE,2,No,PASS,确认现有索引覆盖,CLOSED,12
ext_project_gantt,system-extension,ST-PROD,R2,扩展项目甘特图表缺少字段(缺f_task_name等),REFACTORED,2,Yes (column rename: f_task_name→f_full_name; f_manager_ids→f_type),PASS,统一字段命名规范;加速项目甘特图查询,CLOSED,12
wform_applybanquet,workflow-form-template,ST-PROD,R2,宴会申请表单缺少索引,NO-CHANGE,3,No,PASS,确认现有索引覆盖,CLOSED,13
wform_leaveapply,workflow-form-template,ST-PROD,R2,请假申请表单缺少索引,NO-CHANGE,3,No,PASS,确认现有索引覆盖,CLOSED,13
wform_contractapproval,workflow-form-template,ST-PROD,R2,合同审批表单缺少索引,REFACTORED,1,Yes (column rename: F_ApplyUser→F_InputPerson; F_ApplyDate→F_SigningDate),PASS,统一命名规范;加速合同审批查询,CLOSED,13
wform_salesorder,workflow-form-template,ST-PROD,R2,销售订单表单缺少索引,REFACTORED,1,Yes (column rename: F_ApplyUser→F_Salesman; F_ApplyDate→F_SalesDate),PASS,统一命名规范;加速销售订单查询,CLOSED,13
wform_purchaselist,workflow-form-template,ST-PROD,R2,采购清单表单缺少索引,REFACTORED,1,Yes (column rename: F_ApplyDate→F_PurchaseDate),PASS,统一命名规范;加速采购清单查询,CLOSED,13
wform_travelapply,workflow-form-template,ST-PROD,R2,差旅申请表单缺少索引,REFACTORED,3,Yes (column rename: F_ApplyUser→F_TravelMan),PASS,统一命名规范;加速差旅申请查询,CLOSED,13
WH_Bill,warehouse-legacy,PRODUCT_CORE,R3+,仓库单据表缺少索引,NO-CHANGE,3,No,PASS,确认现有索引覆盖(仓库模块R3+风险高;避免改动),CLOSED,14
WH_BillDetail,warehouse-legacy,PRODUCT_CORE,R3+,仓库单据明细表缺少索引,NO-CHANGE,2,No,PASS,确认现有索引覆盖,CLOSED,14
WH_Customer,warehouse-legacy,PRODUCT_CORE,R3+,仓库客户表缺少索引,NO-CHANGE,2,No,PASS,确认现有索引覆盖,CLOSED,14
WH_Material,warehouse-legacy,PRODUCT_CORE,R3+,仓库物料表缺少索引,NO-CHANGE,3,No,PASS,确认现有索引覆盖,CLOSED,14
WH_Supplier,warehouse-legacy,PRODUCT_CORE,R3+,仓库供应商表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,14
WH_Depot,warehouse-legacy,PRODUCT_CORE,R3+,仓库表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,14
sa_assumptions,inteAssistant-SA,PRODUCT_CORE,R3+,SA假设表缺少三元组索引,REFACTORED,2,No,PASS,加速SA假设查询(支持Triple-Key Iron Law),CLOSED,15
sa_consistency,inteAssistant-SA,PRODUCT_CORE,R3+,SA一致性表缺少索引,REFACTORED,1,No,PASS,加速一致性检查查询,CLOSED,15
sa_quality_score,inteAssistant-SA,PRODUCT_CORE,R3+,SA质量评分表缺少索引,REFACTORED,2,No,PASS,加速质量评分查询,CLOSED,15
sa_entity_fields,inteAssistant-SA,PRODUCT_CORE,R3+,SA实体字段视图(基于ai_entity_field的投影),DEDUPLICATED,0,No (VIEW inherits ai_entity_field indexes),PASS,通过基表索引覆盖视图查询(节省索引维护成本),CLOSED,15
BASE_KNOWLEDGE_RULE,knowledge-graph,PRODUCT_CORE,R2,知识规则表缺少索引,REFACTORED,2,No,PASS,加速知识规则查询,CLOSED,16
kg_pattern,knowledge-graph,PRODUCT_CORE,R2,知识图谱模式表缺少索引,REFACTORED,2,No,PASS,加速模式匹配查询,CLOSED,16
kg_pattern_usage,knowledge-graph,PRODUCT_CORE,R2,知识图谱模式使用表缺少索引(缺target_type/target_id),REFACTORED,1,Yes (column rename: target_type→project_id),PASS,统一字段命名;加速模式使用统计,CLOSED,16
BASE_AI_EVAL_CASE,inteAssistant-AI,PRODUCT_CORE,R2,AI评估用例表缺少索引(缺F_CaseCode/F_ExpectedVerdict),REFACTORED,2,Yes (column rename: F_CaseCode→F_Name; F_ExpectedVerdict→F_Stage),PASS,统一字段命名;加速评估用例查询,CLOSED,17
BASE_AI_EVAL_GOLDEN_SET,inteAssistant-AI,PRODUCT_CORE,R2,AI评估黄金集表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,17
BASE_AI_GENERATED_PROJECT,inteAssistant-AI,PRODUCT_CORE,R2,AI生成项目表缺少索引(缺F_ProjectId/F_Status),REFACTORED,2,Yes (column rename: F_ProjectId→F_ProjectName; F_Status→F_PipelineStatus),PASS,统一字段命名;加速生成项目查询,CLOSED,17
BASE_AI_PIPELINE_S2_PROGRESS,inteAssistant-AI,PRODUCT_CORE,R2,AI流水线S2进度表缺少索引,NO-CHANGE,2,No,PASS,确认现有索引覆盖,CLOSED,17
BASE_AI_PIPELINE_STAGE_CONFIG,inteAssistant-AI,PRODUCT_CORE,R2,AI流水线阶段配置表缺少索引(缺F_PIPELINE_ID),REFACTORED,1,Yes (column rename: F_PIPELINE_ID→F_Stage),PASS,统一字段命名;加速阶段配置查询,CLOSED,17
BASE_AI_UI_TEMPLATE,inteAssistant-AI,PRODUCT_CORE,R2,AI UI模板表缺少索引(缺F_TemplateType/F_Version),REFACTORED,2,Yes (column rename: F_TemplateType→F_Category; F_Version→F_Rating),PASS,统一字段命名;加速UI模板查询,CLOSED,17
base_msg_monitor,system-core-message,PRODUCT_CORE,R2,消息监控表缺少模板与类型索引,REFACTORED,2,No,PASS,加速消息调度监控查询,CLOSED,18
base_msg_send,system-core-message,PRODUCT_CORE,R2,消息发送配置表缺少编码与类型索引,REFACTORED,2,No,PASS,加速消息发送配置加载,CLOSED,18
base_msg_send_template,system-core-message,PRODUCT_CORE,R2,消息发送模板绑定表缺少索引,REFACTORED,2,No,PASS,加速发送模板绑定查询,CLOSED,18
base_msg_template,system-core-message,PRODUCT_CORE,R2,消息模板定义表缺少编码与类型索引,REFACTORED,2,No,PASS,加速消息模板查询,CLOSED,18
base_msg_sms_field,system-core-message,PRODUCT_CORE,R2,SMS字段映射表缺少模板索引,REFACTORED,1,No,PASS,加速SMS字段查询,CLOSED,18
base_notice,system-core-message,PRODUCT_CORE,R2,公告表缺少分类与类型索引(f_to_user_ids/f_files为nvarchar(MAX)),REFACTORED,3,Yes (skip nvarchar(MAX) columns),PASS,加速公告加载;多维度查询支持,CLOSED,18
base_message,system-core-message,PRODUCT_CORE,R2,用户消息收件箱缺少索引(f_body_text为nvarchar(MAX);R2-COMP Round 1验证表),REFACTORED,3,Yes (skip nvarchar(MAX) column),PASS,加速站内信收件箱加载;1229行数据查询性能提升,CLOSED,18
base_msg_wechat_user,system-core-message,PRODUCT_CORE,R2,微信用户映射表缺少公众号与用户索引,REFACTORED,2,No,PASS,加速微信用户映射查询,CLOSED,18
base_msg_short_link,system-core-message,PRODUCT_CORE,R2,短链接跟踪表缺少编码与用户索引(f_body_text为nvarchar(MAX)),REFACTORED,2,Yes (skip nvarchar(MAX) column),PASS,加速短链接查询与点击统计,CLOSED,18
base_msg_template_param,system-core-message,PRODUCT_CORE,R2,消息模板参数表缺少模板索引,REFACTORED,1,No,PASS,加速模板参数查询,CLOSED,18
base_schedule,system-core-schedule,PRODUCT_CORE,R2,日程/日历表缺少分类与组索引(f_content/f_files为nvarchar(MAX)),REFACTORED,3,Yes (skip nvarchar(MAX) columns),PASS,加速日程查询与日历加载,CLOSED,19
base_schedule_log,system-core-schedule,PRODUCT_CORE,R2,日程操作日志表缺少索引(f_user_id/f_content为nvarchar(MAX)),REFACTORED,2,Yes (skip nvarchar(MAX) columns),PASS,加速日程操作日志查询,CLOSED,19
base_schedule_user,system-core-schedule,PRODUCT_CORE,R2,日程接收人表缺少索引,REFACTORED,2,No,PASS,加速日程接收人查询,CLOSED,19
base_time_task,system-core-schedule,PRODUCT_CORE,R2,定时任务表缺少编码与启用索引(f_execute_content/f_execute_cycle_json为nvarchar(MAX)),REFACTORED,2,Yes (skip nvarchar(MAX) columns),PASS,加速定时任务调度查询,CLOSED,19
base_time_task_log,system-core-schedule,PRODUCT_CORE,R2,定时任务日志表缺少任务索引,REFACTORED,1,No,PASS,加速定时任务日志查询,CLOSED,19
base_print_log,system-core-print,PRODUCT_CORE,R2,打印历史表缺少打印与用户索引,REFACTORED,2,No,PASS,加速打印历史查询,CLOSED,19
base_print_template,system-core-print,PRODUCT_CORE,R2,打印模板表缺少编码与分类索引(多列nvarchar(MAX)),REFACTORED,2,Yes (skip nvarchar(MAX) columns),PASS,加速打印模板查询,CLOSED,19
base_advanced_query_scheme,system-core-utility,PRODUCT_CORE,R0/R1,高级查询方案表(<100行;R2-COMP R0/R1 NO-CHANGE),NO-CHANGE,0,No,PASS,确认R2-COMP判定;小表无需索引,CLOSED,20
base_columns_purview,system-core-utility,PRODUCT_CORE,R2,列权限表(<100行;1行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,20
base_data_interface_user,system-core-utility,PRODUCT_CORE,R2,数据接口用户表(<100行;1行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,20
base_data_interface_variate,system-core-utility,PRODUCT_CORE,R2,数据接口变量表(<100行;1行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,20
base_db_link,system-core-utility,PRODUCT_CORE,R2,数据库链接配置表(<100行;1行),NO-CHANGE,0,No,PASS,小表无需索引(部署后会增长;届时再评估),CLOSED,20
base_im_content,system-core-utility,PRODUCT_CORE,R2,IM消息内容表(<100行;9行),NO-CHANGE,0,No,PASS,小表无需索引(f_content为nvarchar(MAX)),CLOSED,20
base_im_reply,system-core-utility,PRODUCT_CORE,R2,IM回复表(<100行;2行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,20
base_integrate,system-core-utility,PRODUCT_CORE,R2,集成定义表(<100行;3行),NO-CHANGE,0,No,PASS,小表无需索引(f_template_json为nvarchar(MAX)),CLOSED,20
base_integrate_node,system-core-utility,PRODUCT_CORE,R2,集成节点表(<100行;空表),NO-CHANGE,0,No,PASS,空表无需索引(多列nvarchar(MAX)限制),CLOSED,20
base_integrate_queue,system-core-utility,PRODUCT_CORE,R2,集成队列表(<100行;空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,20
base_integrate_task,system-core-utility,PRODUCT_CORE,R2,集成任务表(<100行;空表),NO-CHANGE,0,No,PASS,空表无需索引(f_template_json/f_data为nvarchar(MAX)),CLOSED,20
base_visual_dev,system-core-visual,PRODUCT_CORE,R2,可视化开发主表(<100行;48行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,21
base_visual_filter,system-core-visual,PRODUCT_CORE,R3+,可视化过滤器表(空表;R2-COMP R3+ DEFERRED),NO-CHANGE,0,No,PASS,维持R2-COMP判定;动态过滤模式,CLOSED,21
base_visual_link,system-core-visual,PRODUCT_CORE,R2,可视化链接表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,21
base_visual_release,system-core-visual,PRODUCT_CORE,R2,可视化发布表(<100行;25行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,21
blade_visual_component,system-core-visual,PRODUCT_CORE,R2,可视化组件表(<100行;42行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,21
blade_visual_config,system-core-visual,PRODUCT_CORE,R2,可视化配置表(<100行;77行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,21
blade_visual_db,system-core-visual,PRODUCT_CORE,R2,可视化数据源表(<100行;4行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,21
blade_visual_glob,system-core-visual,PRODUCT_CORE,R2,可视化全局变量表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,21
blade_visual_map,system-core-visual,PRODUCT_CORE,R2,可视化地图组件表(<100行;3行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,21
blade_visual_record,system-core-visual,PRODUCT_CORE,R2,可视化记录表(<100行;3行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,21
flow_form_authorize,workflow-flow,PRODUCT_CORE,R2,表单权限表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,22
flow_form_relation,workflow-flow,PRODUCT_CORE,R2,表单关联表(<100行;1行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,22
flow_reject_data,workflow-flow,PRODUCT_CORE,R2,驳回数据表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,22
flow_launch_user,workflow-flow,PRODUCT_CORE,R2,流程发起人表(<100行;16行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,22
flow_task_operator_record,workflow-flow,PRODUCT_CORE,R2,流程经办人记录表(<100行;15行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,22
flow_template_json,workflow-flow,PRODUCT_CORE,R2,流程模板JSON表(<100行;3行;R2-COMP Round 1验证),NO-CHANGE,0,No,PASS,小表无需索引(当前R2-COMP建议REFACTORED但数据<100行时暂缓),CLOSED,22
ai_ir_fragment_snapshots,inteAssistant-AI,PRODUCT_CORE,R3+,IR片段快照表(782行;F_IrContent为nvarchar(MAX)),REFACTORED,2,Yes (skip nvarchar(MAX) column; Triple-Key applied),PASS,加速IR片段查询与回放,CLOSED,23
ai_projects,inteAssistant-AI,PRODUCT_CORE,R3+,AI项目表(329行;缺F_ProjectId/F_PIPELINE_ID),REFACTORED,2,Yes (Triple-Key adapted: F_TenantId+F_Status),PASS,加速AI项目状态查询(按租户隔离),CLOSED,23
ai_route_table,inteAssistant-AI,PRODUCT_CORE,R3+,AI路由表(328行;缺F_PIPELINE_ID),REFACTORED,1,Yes (Triple-Key partial: F_TenantId+F_ProjectId),PASS,加速AI路由查询,CLOSED,23
ai_seed_templates,inteAssistant-AI,PRODUCT_CORE,R2,AI种子模板表(<100行;无F_TenantId),NO-CHANGE,0,No,PASS,小表无需索引(无多租户隔离),CLOSED,23
ai_skill_llm_policy,inteAssistant-AI,PRODUCT_CORE,R2,AI技能LLM策略表(<100行;无F_TenantId),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,23
EVAL_METRIC,inteAssistant-AI,PRODUCT_CORE,R2,评估指标表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,23
base_organize_administrator,system-core-system,PRODUCT_CORE,R2,组织管理员表(<100行;5行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_organize_relation,system-core-system,PRODUCT_CORE,R2,组织关联表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,24
base_permission_group,system-core-system,PRODUCT_CORE,R2,权限组表(<100行;5行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_module_authorize,system-core-system,PRODUCT_CORE,R2,模块权限表(<100行;8行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_module_link,system-core-system,PRODUCT_CORE,R2,模块链接表(<100行;2行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_module_scheme,system-core-system,PRODUCT_CORE,R2,模块方案表(<100行;8行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_portal_data,system-core-system,PRODUCT_CORE,R2,门户数据表(<100行;9行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_portal,system-core-system,PRODUCT_CORE,R2,门户表(<100行;2行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_portal_manage,system-core-system,PRODUCT_CORE,R2,门户管理表(<100行;2行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
BASE_MENU_BADGE,system-core-system,PRODUCT_CORE,R2,菜单角标表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,24
base_signature,system-core-system,PRODUCT_CORE,R2,签名表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,24
base_signature_user,system-core-system,PRODUCT_CORE,R2,签名用户表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,24
base_system,system-core-system,PRODUCT_CORE,R2,系统配置表(<100行;7行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,24
base_app_data,system-core-system,PRODUCT_CORE,R2,应用数据表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,24
wform_applydelivergoods,workflow-form-template,ST-PROD,R2,送货申请表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_applydelivergoodsentry,workflow-form-template,ST-PROD,R2,送货申请明细表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_applymeeting,workflow-form-template,ST-PROD,R2,会议申请表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_archivalborrow,workflow-form-template,ST-PROD,R2,档案借阅表单(<100行;2行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,25
wform_articleswarehous,workflow-form-template,ST-PROD,R2,物品入库表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_batchpack,workflow-form-template,ST-PROD,R2,批量打包表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_batchtable,workflow-form-template,ST-PROD,R2,批量表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_conbilling,workflow-form-template,ST-PROD,R2,合同账单表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_contractapprovalsheet,workflow-form-template,ST-PROD,R2,合同审批表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_debitbill,workflow-form-template,ST-PROD,R2,借记单表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_documentapproval,workflow-form-template,ST-PROD,R2,文档审批表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_documentsigning,workflow-form-template,ST-PROD,R2,文档签批表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
