file,last_commit,blob_size,was_size,status
docs/架构迭代/3、架构迭代子阶段施工/3、前端项目施工阶段/2、开发计划和施工包/02-dist源码对照矩阵.md,31c835ef,4247,4247,OK
docs/架构迭代/3、架构迭代子阶段施工/3、前端项目施工阶段/2、开发计划和施工包/03-GAP待补清单与功能对等验收表.md,31c835ef,3834,3834,OK
docs/架构迭代/3、架构迭代子阶段施工/3、前端项目施工阶段/2、开发计划和施工包/README.md,31c835ef,1783,1783,OK
docs/架构迭代/4、项目工作推进日程清单/episodic-memory-playbook.md,31c835ef,4093,4093,OK
docs/架构迭代/4、项目工作推进日程清单/progress-registry.yaml,31c835ef,10744,10744,OK
docs/架构迭代/4、项目工作推进日程清单/项目开发推进清单(每完成一项工作记录一条记录).md,31c835ef,21443,21443,OK
docs/架构迭代/5、部署与运维/01-阶段一-环境准备.md,31c835ef,12387,12387,OK
docs/架构迭代/5、部署与运维/02-阶段二-数据库初始化.md,31c835ef,13273,13273,OK
docs/架构迭代/5、部署与运维/03-阶段三-后端服务启动.md,31c835ef,10991,10991,OK
docs/架构迭代/5、部署与运维/04-阶段四-前端构建与Nginx部署.md,31c835ef,9799,9799,OK
docs/架构迭代/5、部署与运维/05-阶段五-辅助服务部署.md,31c835ef,5526,5526,OK
docs/架构迭代/5、部署与运维/06-阶段六-生产加固.md,31c835ef,6574,6574,OK
docs/架构迭代/5、部署与运维/07-阶段七-端到端验证.md,31c835ef,8496,8496,OK
docs/架构迭代/5、部署与运维/README.md,31c835ef,10905,10905,OK
docs/架构迭代/5、部署与运维/附录-速查表与术语.md,31c835ef,6921,6921,OK
docs/架构迭代/6、培训与操作手册/1、三大操作手册编写要求.md,31c835ef,61807,61807,OK
docs/架构迭代/6、培训与操作手册/2、手册一-主WEB低代码代码生成操作手册.md,31c835ef,86162,86162,OK
docs/架构迭代/6、培训与操作手册/3、手册三-UniApp低代码移动APP生成操作手册.md,31c835ef,75039,75039,OK
docs/架构迭代/6、培训与操作手册/4、手册二-数字大屏全部功能操作手册.md,31c835ef,57112,57112,OK
docs/架构迭代/6、培训与操作手册/5、JNPF-v5.2操作手册使用指引.md,31c835ef,4978,4978,OK
